Bin,Article Name,Number of Images,Number of Sections,Number of Sentences,Number of Words,Number of References
Featured,Percheron,10,7,146,3422,58
Featured,FIFA_World_Cup,7,14,180,4979,90
Featured,Mario_%26_Sonic_at_the_Olympic_Games,8,6,121,3039,77
Featured,USS_Saratoga_(CV-3),24,6,394,9242,115
Featured,Russian_battleship_Peresvet,4,6,97,2211,24
Featured,2008_Hungarian_Grand_Prix,17,5,165,4434,34
Featured,Pendle_witches,9,11,166,4729,94
Featured,Nancy_Reagan,31,11,335,8273,205
Featured,Rings_of_Jupiter,11,10,172,3907,43
Featured,Sacagawea_dollar,16,7,149,3890,44
Featured,Gustav_Mahler,23,6,362,9590,190
Featured,Upper_Pine_Bottom_State_Park,12,8,142,3755,58
Featured,Four_Freedoms_(Norman_Rockwell),7,10,230,5303,119
Featured,Halo:_Reach,7,7,219,4844,120
Featured,Victoria_Cross_for_New_Zealand,2,6,50,1204,24
Featured,James_B._Weaver,16,17,257,6018,162
Featured,Ng%C3%B4_%C4%90%C3%ACnh_C%E1%BA%A9n,3,8,128,2975,43
Featured,Edward_Teller,23,17,272,7249,112
Featured,William_Walton,13,5,256,6173,142
Featured,Javan_slow_loris,6,6,65,1622,29
Featured,Kappa_Kappa_Psi,11,6,169,4477,80
Featured,Film_noir,18,13,326,10222,184
Featured,December_1964_South_Vietnamese_coup,9,9,218,6220,54
Featured,The_Disasters_of_War,35,12,227,5517,93
Featured,Tunnel_Railway,7,6,94,2412,33
Featured,Fossa_(animal),8,8,200,4686,41
Featured,Cat%27s_Eye_Nebula,4,10,69,1638,26
Featured,Go_Man_Go,1,9,94,2007,43
Featured,United_Nations_Parliamentary_Assembly,6,11,175,5776,98
Featured,USS_West_Bridge_(ID-2888),3,8,81,2190,36
Featured,Texas_A%26M_University,26,10,340,8013,236
Featured,Xenon,13,10,242,5560,184
Featured,Louis_Riel_(comics),12,12,189,4392,101
Featured,Runaway_Scrape,8,9,252,6009,181
Featured,Ormulum,5,9,77,2202,0
Featured,L._Ron_Hubbard,24,18,673,16716,365
Featured,Ankylosaurus,19,7,194,4519,38
Featured,William_Wurtenburg,6,6,93,1941,51
Featured,Turning_Point_(2008_wrestling),5,8,126,2672,36
Featured,Bernard_Williams,5,7,98,2631,28
Featured,Edgar_Allan_Poe,14,10,251,5228,155
Featured,The_Author%27s_Farce,3,8,134,3454,68
Featured,Toothcomb,4,6,117,2878,78
Featured,Dungeons_%26_Dragons,10,9,192,4796,144
Featured,Nauru,17,11,200,4006,101
Featured,Volubilis,25,9,216,5708,56
Featured,Air_Rhodesia_Flight_825,11,7,174,4649,55
Featured,Battle_of_Ramillies,15,8,213,6380,87
Featured,The_Tower_House,13,7,182,4366,82
Featured,Dominik_Ha%C5%A1ek,5,13,191,4639,85
Featured,Master_of_Puppets,2,11,185,4028,81
Featured,Seorsumuscardinus,1,5,72,1396,25
Featured,History_of_York_City_F.C._(1908%E2%80%9380),8,5,201,4787,172
Featured,Adelaide_Anne_Procter,2,6,72,2050,48
Featured,Wales_national_rugby_union_team,17,12,217,5045,186
Featured,Josquin_des_Prez,5,8,148,5144,58
Featured,Falkland_Islands,16,14,183,4424,186
Featured,Ultima_Underworld:_The_Stygian_Abyss,3,7,198,4554,62
Featured,The_King_and_I,20,13,494,11422,183
Featured,Harris%27s_List_of_Covent_Garden_Ladies,6,4,126,3806,70
Featured,William_Wurtenburg,6,6,93,1941,51
Featured,Cretan_War_(205%E2%80%93200_BC),6,8,174,4051,50
Featured,Microsoft_Security_Essentials,9,9,117,2931,82
Featured,Tucana,5,7,99,2215,56
Featured,Tropical_Storm_Nicole_(2010),10,7,119,2875,70
Featured,Rudolf_Wolters,7,7,194,5203,73
Featured,Super_Columbine_Massacre_RPG!,7,7,156,3988,56
Featured,Joseph_Desha,9,9,234,5637,87
Featured,Wail_al-Shehri,2,6,104,2337,45
