Bin,Number of Images,Number of Sections,Number of Sentences,Number of Words,Number of References,Subjectivity,Polarity,PagesViews,Revisions
Featured,18,11,369,8364,98,0.355361016,0.056533403,86259,96
Featured,9,8,218,5330,142,0.390614541,0.089079614,1168251,203
Featured,21,18,280,7456,161,0.408440141,0.099042835,546498,285
Featured,10,13,261,6162,218,0.436473776,0.071121116,2143400,249
Featured,7,6,50,1135,14,0.313475976,0.008370871,11722,25
Featured,5,5,84,2090,26,0.328566664,0.064868871,11413,8
Featured,8,11,98,3021,38,0.419076717,0.102460249,9510,1
Featured,44,16,519,15220,493,0.357386059,0.100780906,5825448,500
Featured,2,8,58,1753,53,0.368367489,0.126051968,4269,2
Featured,19,14,384,8511,203,0.393680448,0.073876247,1103536,195
Featured,6,7,93,2815,20,0.486929409,0.114878439,12629,3
Featured,12,12,301,7579,179,0.353637157,0.070130186,4341,6
Featured,4,5,166,4429,68,0.442840528,0.128928339,22156,9
Featured,7,9,110,2738,47,0.437683352,0.121133947,12639,3
Featured,83,17,335,8733,225,0.34719287,0.13143967,3317448,349
Featured,6,4,143,4354,62,0.363903903,0.066725399,24982,38
Featured,17,5,152,3037,50,0.415446152,0.110323998,14674,17
Featured,6,7,168,3578,42,0.484886535,0.125268751,4735,6
Featured,38,13,652,15213,301,0.391014044,0.06743237,446489,203
Featured,4,10,230,5579,81,0.348190367,0.065782562,13916,7
Featured,3,6,118,2833,34,0.419775403,0.126774284,14505,6
Featured,8,8,80,1852,20,0.385383482,0.027598837,5056,6
Featured,22,14,294,7193,262,0.390933386,0.055317472,868647,79
Featured,4,8,117,3137,85,0.408073593,0.054210343,14770,18
Featured,21,8,174,4774,120,0.420152536,0.17585063,38313,9
Featured,11,12,106,3020,62,0.477578276,0.080459974,478148,145
Featured,22,8,166,4284,92,0.32958314,0.022443182,20130,10
Featured,5,7,145,3630,50,0.335801368,0.01618157,5153,3
Featured,10,8,132,3771,47,0.444552509,-0.026750928,52505,9
Featured,5,6,72,1671,23,0.340821396,0.065431023,99072,51
Featured,1,7,120,2984,39,0.409440133,0.133235078,59668,11
Featured,8,10,116,3483,92,0.424666239,0.119211991,72271,15
Featured,50,13,508,12466,216,0.400147323,0.097360072,1404454,53
Featured,15,7,271,6871,75,0.268228777,0.042177328,30886,6
Featured,3,5,112,2494,55,0.288053301,0.06322539,4269,9
Featured,6,4,225,4087,62,0.440671205,0.075105182,129319,28
Featured,9,7,250,5850,71,0.357163428,0.021650664,6816,1
Featured,5,8,149,3335,61,0.417526945,0.156601019,3055,16
Featured,59,16,350,8515,224,0.331351806,0.087469961,1311558,325
Featured,6,11,145,3486,66,0.373140173,0.061432142,9593,7
Featured,10,13,208,4717,82,0.411356509,0.104999092,17288,7
Featured,2,5,170,3726,117,0.37597585,0.057004486,470162,61
Featured,3,6,147,3723,37,0.467531794,0.012771332,83783,16
Featured,4,8,199,4292,122,0.447299456,0.088069164,3636,8
Featured,13,12,389,7579,115,0.371842101,0.075453838,150584,33
Featured,18,9,445,11161,243,0.438492308,0.100780172,344982,62
Featured,21,12,141,4860,114,0.34025076,0.058413367,74868,19
Featured,6,7,136,3011,68,0.383717304,0.068424675,9106,95
Featured,2,10,172,3994,102,0.407865674,0.144632005,236267,76
Featured,5,5,73,1688,17,0.358155382,0.058205611,9717,10
Featured,29,11,201,4709,105,0.39781177,0.06743507,284541,34
Featured,14,9,278,6670,114,0.38000262,0.064307186,10848,9
Featured,14,9,128,3346,54,0.340103742,0.086219031,12209,8
Featured,3,9,111,2790,45,0.339426314,0.081778037,3121,3
Featured,8,6,173,4376,113,0.35311035,0.082926078,6315,14
Featured,2,12,359,8534,146,0.380750158,0.083273731,2641,2
Featured,10,5,136,3300,52,0.36074018,0.028666599,24778,5
Featured,5,12,205,3173,164,0.407900989,0.169358923,127641,228
Featured,13,7,130,3010,83,0.393763644,0.041211104,4521,3
Featured,15,8,149,3476,99,0.439711106,0.07179694,13358,19
Featured,6,4,185,4895,121,0.352725417,0.106801639,54691,16
Featured,11,7,123,3307,24,0.436556513,0.18036759,6671,3
Featured,10,8,156,3436,47,0.418007627,0.023049078,135223,32
Featured,8,8,291,6412,114,0.344924615,0.049246839,290148,34
Featured,9,8,242,5926,161,0.378332626,0.174734414,1179839,228
Featured,3,10,262,6305,77,0.3733875,0.025963312,2819,5
Featured,24,8,182,4490,87,0.426847133,0.063646864,56080,30
Featured,15,10,382,8565,239,0.391013602,0.090019213,72418,19
Featured,4,6,59,1450,35,0.247666452,0.030544524,10881,3
Featured,6,8,119,3094,71,0.25140718,0.02433312,16955,7
Featured,21,16,261,7387,101,0.422782536,0.046924304,583467,19
Featured,20,8,109,2589,37,0.372509029,0.146380438,12810,4
Featured,13,12,128,2991,83,0.369005706,0.098406381,38252,16
Featured,6,8,116,2587,44,0.35469747,0.107234317,141906,108
Featured,8,8,71,2281,34,0.498411497,0.089444695,25640,5
Featured,18,12,396,9209,299,0.377376108,0.043997995,1238679,51
Featured,4,6,88,2030,64,0.367123418,0.054189346,19609,5
Featured,2,11,125,3703,56,0.402624825,0.088114723,35832,6
Featured,7,7,93,2034,24,0.428837222,0.061571056,61131,14
Featured,11,12,354,8562,205,0.30029402,0.063310004,123860,13
Featured,3,7,140,3354,43,0.361997332,0.04576246,11171,30
Featured,7,9,143,3404,88,0.384601721,0.001923408,38862,57
Featured,5,6,140,2705,64,0.373316357,0.038442909,5488,5
Featured,17,8,442,10556,211,0.368868975,0.04976891,294243,98
Featured,10,6,127,3064,45,0.394396781,0.073616091,164624,25
Featured,6,9,99,2675,30,0.324182024,0.063381365,Not Available,8
Featured,38,17,221,5862,186,0.342465385,0.103215554,2912233,325
Featured,5,6,132,3606,75,0.379367913,0.113420815,6917,6
Featured,15,10,251,5456,109,0.300294721,0.073515584,15123,20
Featured,24,6,394,9242,115,0.337127569,0.033250016,136640,16
Featured,9,9,178,5034,64,0.471778276,0.098096273,15004,4
Featured,9,8,198,5191,39,0.390204729,0.039717869,5078,-1
Featured,16,9,191,3702,70,0.340113565,0.12187152,308981,174
Featured,11,11,176,4621,78,0.389002573,0.06307126,896923,18
Featured,14,6,341,9441,201,0.423332253,0.122039556,175071,42
Featured,7,5,288,9080,125,0.450855935,0.103169998,86753,32
Featured,4,7,110,2835,89,0.371203753,0.082102412,177876,31
Featured,6,6,65,1622,29,0.391790476,-0.023746825,8343,3
Featured,9,5,180,3989,116,0.338414442,0.057643513,22354,26
Featured,4,8,98,2461,91,0.407374216,0.111603554,91448,40
Featured,4,8,72,1601,13,0.376075972,0.004072156,23225,2
Featured,2,6,119,2714,54,0.413265017,0.00272714,33056,16
Featured,5,7,95,2191,57,0.380552976,0.06255541,20557,21
Featured,9,7,95,2027,26,0.398958256,0.061024222,3298,3
