Article_Name,Polarity,PagesViews,Revisions
Hillary_Clinton,0.100780906,5825448,500
Germany,0.087602101,4872358,373
William_Shakespeare,0.129362564,4278898,159
The_Beatles,0.130965104,3574580,222
Elizabeth_I_of_England,0.076843536,3445783,31
FC_Barcelona,0.13143967,3317448,349
Arsenal_F.C.,0.103215554,2912233,325
Malcolm_X,0.034589899,2525457,172
Paul_McCartney,0.132135844,2381705,188
Kareena_Kapoor,0.153546774,2378081,500
CM_Punk,0.068599398,2305078,229
Philip_Seymour_Hoffman,0.148120843,2281199,111
Charles_Darwin,0.115372589,2167369,171
Grand_Theft_Auto_V,0.071121116,2143400,249
Prometheus_(2012_film),0.040351885,1847505,238
George_V,0.068793032,1774350,176
Venus,0.080264018,1675914,351
Babe_Ruth,0.071972373,1488608,134
Bah%C3%A1%27%C3%AD_Faith,0.078469926,1408663,153
Ancient_Egypt,0.097360072,1404454,53
Chess,0.06725391,1368876,179
Belarus,0.051936549,1353801,280
Houston,0.087469961,1311558,325
Wayne_Gretzky,0.094177108,1308183,62
Coeliac_disease,0.042127523,1293057,261
Frank_Zappa,0.099294234,1270141,191
Virginia,0.101784379,1252576,257
Jackie_Robinson,0.043997995,1238679,51
Preity_Zinta,0.149763523,1238063,300
Rani_Mukerji,0.174734414,1179839,228
Tool_(band),0.089079614,1168251,203
Fight_Club,0.101394575,1140544,157
Diamond,0.065220087,1116729,64
Harriet_Tubman,0.073876247,1103536,195
Blackbeard,0.041904895,1093593,62
Menstrual_cycle,0.074294378,1058337,138
Atheism,0.056043737,1046268,139
The_Human_Centipede_(First_Sequence),0.033415007,1025003,92
Franz_Kafka,0.071554881,1004590,166
Hoover_Dam,0.07907696,972500,183
Helium,0.071628249,970225,142
Boeing_767,0.071002177,935872,185
Ocean_sunfish,0.067072025,901471,84
Archimedes,0.06307126,896923,18
"Anne,_Queen_of_Great_Britain",0.055317472,868647,79
Catherine_de%27_Medici,0.0775997,820172,65
Minneapolis,0.112158763,806908,266
Thylacine,0.05780822,801779,58
Thriller_(Michael_Jackson_album),0.131687202,783219,328
Cleveland,0.096282795,759245,215
Jason_Voorhees,0.079109583,728920,169
Neville_Chamberlain,0.057700773,694119,137
Lung_cancer,0.094478586,684708,159
West_Bengal,0.06660485,675018,141
Ant,0.071131269,672226,43
Edward_III_of_England,0.092655475,659753,69
Emu,0.051399638,650158,224
"Gilbert_du_Motier,_Marquis_de_Lafayette",0.071953697,639885,296
Kate_Bush,0.144763018,639429,261
Yosemite_National_Park,0.099073802,622171,131
California_Gold_Rush,0.092462619,618973,78
Samuel_Adams,0.083984743,610434,18
Uncle_Tom%27s_Cabin,0.046924304,583467,19
McDonnell_Douglas_F-4_Phantom_II,0.067265073,578145,120
BioShock,0.065247559,577845,82
Gunpowder_Plot,0.067575399,575649,167
Ming_dynasty,0.080896943,571373,60
Toronto_Raptors,0.083558011,563655,345
Emmeline_Pankhurst,0.065664397,561975,135
The_Kinks,0.092069902,560288,125
Richard_II_of_England,0.089336591,551827,71
Ernest_Shackleton,0.099042835,546498,285
William_Tecumseh_Sherman,0.093672747,522637,65
Sega_Genesis,0.071599909,522211,148
Dhaka,0.084739251,521713,326
Albatross,0.117095073,498262,56
Climate_of_India,0.039201525,496870,120
Chagas_disease,0.080860972,493414,35
Pixies,0.077292162,486090,71
Oort_cloud,0.080459974,478148,145
Starfish,0.020355164,477487,70
Noble_gas,0.157801019,471795,70
Age_of_Empires,0.057004486,470162,61
Batman:_Arkham_Asylum,0.018112197,461582,63
Night_of_the_Long_Knives,0.043102431,454971,76
Benjamin_Disraeli,0.06743237,446489,203
BAE_Systems,0.072995887,442267,72
Thunderbirds_(TV_series),0.097923585,431957,142
Ununoctium,0.102922049,426535,71
Satyajit_Ray,0.110050487,425629,121
Chrono_Trigger,0.042131156,418372,88
Surrender_of_Japan,0.048203128,416267,51
The_Raven,0.066929313,408283,63
The_Sun_Also_Rises,0.107827948,406170,25
Redback_spider,0.04791847,393634,43
Voting_Rights_Act_of_1965,0.069176839,392544,105
Planets_beyond_Neptune,0.053257947,388623,300
The_Supremes,0.164845033,380542,16
Supernatural_(season_1),0.085796941,364367,48
Triceratops,0.090579787,351626,163
Battle_of_Shiloh,0.056946191,350772,178
Fairy_tale,0.122631616,345903,130
Enid_Blyton,0.088298333,345893,105
Samuel_Johnson,0.100780172,344982,62
Wind,0.064738088,342885,97
Liberty_Bell,0.071738323,339574,74
Shelton_Benjamin,0.113554515,335921,146
Star_Trek:_The_Motion_Picture,0.106431207,331778,72
Mutiny_on_the_Bounty,0.037092669,319715,44
Order_of_Canada,0.085933708,319020,31
Death_of_Jimi_Hendrix,0.005564,310062,86
Anfield,0.12187152,308981,174
Borobudur,0.049220695,304013,71
1984_Rajneeshee_bioterror_attack,0.065409013,298658,20
Passenger_pigeon,0.063055432,296355,489
Godsmack,0.108744634,294669,137
Chinua_Achebe,0.04976891,294243,98
Peter_Jennings,0.049246839,290148,34
Mary_II_of_England,0.063261685,287646,36
Holden,0.108918533,286318,104
Donkey_Kong_(video_game),-0.00424119,285635,103
Wales_national_rugby_union_team,0.159905526,284805,215
Rainbow_trout,0.06743507,284541,34
El_Greco,0.102933959,283539,49
Common_raven,0.040488036,282942,44
Rod_Steiger,0.102066389,281466,500
"Stephen,_King_of_England",0.098687767,280090,51
Oxygen_toxicity,0.058952814,269083,48
Haumea,0.061634007,267984,64
Californication_(album),0.141356342,266292,33
Triton_(moon),0.042445433,257732,121
Battle_of_the_Coral_Sea,0.030884729,257141,34
Mughal-e-Azam,0.12490903,256839,50
Kingdom_Hearts_II,0.051346503,256519,80
Persona_(series),0.095088274,254200,131
Zion_National_Park,0.097902217,246533,35
CenturyLink_Field,0.038946038,242252,94
Grim_Fandango,-0.007276954,237677,37
In_Rainbows,0.144632005,236267,76
Northrop_YF-23,0.167522876,235336,30
Shakespeare_authorship_question,0.100905402,230429,89
Harold_Pinter,0.070741111,227445,25
"Prince_Albert_Victor,_Duke_of_Clarence_and_Avondale",0.04155259,225999,109
Ironclad_warship,0.093257026,224583,44
Rachel_Carson,0.104859849,223079,121
Alfred_Russel_Wallace,0.118738977,218833,161
Paul_Tibbets,0.084615074,216468,93
Doctor_Who_missing_episodes,0.031691366,213443,249
Ayumi_Hamasaki,0.119227772,212560,71
Third_Servile_War,0.04592962,210727,15
Deinonychus,0.064133873,205377,52
Super_Smash_Bros._Brawl,0.028474323,204078,22
Highway_61_Revisited,0.096138667,203522,26
%C5%8Ckami,0.040042678,203469,34
Diplodocus,0.061594422,203145,79
Martin_Brodeur,0.092741951,202669,66
Gal%C3%A1pagos_tortoise,0.05823942,190999,77
Thaddeus_Stevens,0.066291693,190740,41
Water_fluoridation,0.075553306,189683,236
Japanese_battleship_Musashi,0.058970378,187977,18
Kingdom_Hearts_(video_game),0.079176204,186282,62
Mackinac_Island,0.114590308,182000,44
Privy_Council_of_the_United_Kingdom,0.060062468,180568,84
Cracker_Barrel,0.082102412,177876,31
Rosewood_massacre,0.035776572,177144,33
Gustav_Holst,0.122039556,175071,42
Luton_Town_F.C.,0.109768542,173501,191
Bivalvia,0.064974033,171922,28
Star_Trek_IV:_The_Voyage_Home,0.116400727,171470,62
Terry-Thomas,0.076756222,171137,45
Common_blackbird,0.0047474,170743,132
Be_Here_Now_(album),0.032096846,167969,73
Paraceratherium,0.059129859,167559,43
Shielded_metal_arc_welding,0.041515152,164988,42
Louis_Slotin,0.073616091,164624,25
Juwan_Howard,0.079714037,162364,24
Arbiter_(Halo),-0.023749273,159393,103
Texas_Tech_University,0.103683108,159350,82
Sonic_X,0.054653026,159107,127
The_Basement_Tapes,0.113088227,154755,40
Mary_Rose,0.119919918,154596,63
Stuyvesant_High_School,0.088305095,154346,94
The_Phantom_Tollbooth,0.098476646,153203,293
Banff_National_Park,0.094554181,153018,220
Demosthenes,0.122239235,152791,54
Huldrych_Zwingli,0.075453838,150584,33
Fin_whale,0.040416106,148818,97
Planescape:_Torment,-0.048062813,148431,16
HMS_Courageous_(50),0.107234317,141906,108
Giant_anteater,0.029297589,138545,37
Katamari_Damacy,0.040572267,137689,20
Loggerhead_sea_turtle,0.06503781,136832,50
USS_Saratoga_(CV-3),0.033250016,136640,16
Javan_rhinoceros,0.023049078,135223,32
Andalusian_horse,0.098719778,134363,11
Microsoft_Security_Essentials,0.119591162,134313,26
Aries_(constellation),0.075105182,129319,28
Love._Angel._Music._Baby.,0.169358923,127641,228
Heidi_Game,-0.034331163,127412,49
Jonathan_Agnew,0.078801914,126739,53
A_Vindication_of_the_Rights_of_Woman,0.099393683,125380,15
"John_Churchill,_1st_Duke_of_Marlborough",0.0962109,124430,61
Roberto_Luongo,0.063310004,123860,13
Francis_Walsingham,0.050812643,123631,39
Pedro_I_of_Brazil,0.077464414,123286,89
York_City_F.C.,0.08532002,122280,249
HMS_Agincourt_(1913),0.069439122,121027,64
Nuckelavee,-0.002051899,120289,118
